Unnamed: 0,Act. Pop.,Constant,J,Length,Us,V,V2,V3,atom,energy,error,esterm,functional,spin,t,Method,Excitation
56,9.9008242009,1.0,1.06336712252,1.75,1.58296192871,10.8754461778,15.361421384,13.9663632529,H,-5.156744442,0.003016874878,9.9008242009,pbe,Spin: 0,10.8586626754,uks,singles
57,9.8907009282,1.0,0.866369660176,1.75,1.47464254957,11.7065989918,14.5624196751,14.3741724487,H,-5.079453725,0.004392829244,9.8907009282,pbe,Spin: 0,9.8511124271,uks,singles
58,9.8729195054,1.0,0.867612448276,1.75,1.4794628126,11.7050144863,14.3273259113,14.4970892933,H,-5.076712492,0.004333592446,9.8729195054,pbe,Spin: 0,9.83069557423,uks,singles
59,9.8895373851,1.0,0.761316577655,1.75,1.35795615795,12.4096177502,14.012041267,14.142508908,H,-5.013991126,0.005035524757,9.8895373851,pbe,Spin: 0,9.17831336905,uks,singles
178,10.0020392342,1.0,1.69591317137,1.5,2.0649530341,10.9717789855,15.1894040111,14.393293531,H,-5.394306793,0.001713355482,10.0020392342,pbe,Spin: 0,13.0405597842,uks,doubles
179,9.8576921389,1.0,0.521444127352,1.5,1.62548698318,12.5087302715,13.5713116948,14.0455535543,H,-5.00071514,0.001898958641,9.8576921389,pbe,Spin: 0,7.32823165086,uks,doubles
180,9.8935691816,1.0,0.496109573044,1.5,1.6617804736,12.7122086413,13.6589458318,14.0132002374,H,-5.004519899,0.003829534284,9.8935691816,pbe,Spin: 0,7.45994860659,uks,doubles
181,9.95779403717,1.0,0.534649749428,1.5,1.52638599472,14.2442684488,14.1022079824,13.4837148539,H,-4.897415641,0.007026831417,9.95779403717,pbe,Spin: 0,6.67009310915,uks,doubles
182,9.8363517829,1.0,0.44891025439,1.5,1.35419747838,13.4780988417,14.2158860709,13.4482033905,H,-4.8399167,0.005118276727,9.8363517829,pbe,Spin: 0,6.31645789357,uks,doubles
183,9.8735759506,1.0,0.46886807245,1.5,1.32029953818,13.2232067854,14.1524736048,12.8305160863,H,-4.849870601,0.004852262057,9.8735759506,pbe,Spin: 0,6.01783786068,uks,doubles
186,9.8743367969,1.0,0.57497707356,1.5,1.586103106,12.2898639594,13.793882104,14.2749537476,H,-5.039720437,0.002388510688,9.8743367969,pbe,Spin: 0,7.68667728591,uks,doubles
187,9.8521325094,1.0,0.519903646653,1.5,1.44762915944,12.6466619779,13.9630378724,14.2912728674,H,-4.937753175,0.003558277812,9.8521325094,pbe,Spin: 0,6.77071493938,uks,doubles
188,9.8413927723,1.0,0.4719480248,1.5,1.37776397115,13.4881302358,13.8880140675,13.6764853098,H,-4.912896169,0.004139897099,9.8413927723,pbe,Spin: 0,6.66014628068,uks,doubles
189,9.8773628661,1.0,0.512525908425,1.5,1.41935841469,13.024922435,14.0721002272,13.7763302964,H,-4.844746705,0.006326904851,9.8773628661,pbe,Spin: 0,6.38003637355,uks,doubles
191,9.8574788775,1.0,0.651459124286,1.5,1.6213773822,12.4798801729,13.7324164972,14.1989164072,H,-5.030560621,0.003730152234,9.8574788775,pbe,Spin: 0,7.64182901073,uks,doubles
192,9.8781439325,1.0,0.62453039795,1.5,1.44439126417,12.9635409392,13.8660745002,13.8392995177,H,-5.040277761,0.004271204372,9.8781439325,pbe,Spin: 0,7.53662595116,uks,doubles
